日期,收盘,涨跌幅
2023-11-09,8.93,-0.11
2023-11-10,8.74,-2.13
2023-11-13,8.69,-0.57
2023-11-14,8.71,0.23
2023-11-15,8.81,1.15
2023-11-16,8.68,-1.48
2023-11-17,8.59,-1.04
2023-11-20,8.63,0.47
2023-11-21,8.72,1.04
2023-11-22,8.6,-1.38
2023-11-23,8.59,-0.12
2023-11-24,8.54,-0.58
2023-11-27,8.45,-1.05
2023-11-28,8.39,-0.71
2023-11-29,8.16,-2.74
2023-11-30,8.12,-0.49
2023-12-01,8.1,-0.25
2023-12-04,8.07,-0.37
2023-12-05,7.92,-1.86
2023-12-06,7.94,0.25
2023-12-07,7.88,-0.76
2023-12-08,7.74,-1.78
2023-12-11,7.79,0.65
2023-12-12,7.86,0.9
2023-12-13,7.6,-3.31
2023-12-14,7.59,-0.13
2023-12-15,7.65,0.79
2023-12-18,7.57,-1.05
2023-12-19,7.54,-0.4
2023-12-20,7.47,-0.93
2023-12-21,7.61,1.87
2023-12-22,7.64,0.39
2023-12-25,7.63,-0.13
2023-12-26,7.54,-1.18
2023-12-27,7.56,0.27
2023-12-28,7.89,4.37
2023-12-29,7.83,-0.76
